------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	 TR-Data% 	 TS-Data% 	 Accuracy% 	 Kappa% 	 Sensitivity% 	 Specificity% 	 Precision% 	 Recall%
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	  10 		  90 		  81.07 		  61.91 		  81.68 		  80.34 		  83.21 		  81.68 
	  20 		  80 		  82.60 		  65.01 		  83.17 		  81.93 		  84.43 		  83.17 
	  30 		  70 		  82.72 		  65.33 		  84.12 		  81.17 		  83.23 		  84.12 
	  40 		  60 		  83.36 		  66.66 		  85.31 		  81.28 		  82.98 		  85.31 
	  50 		  50 		  86.33 		  72.60 		  87.89 		  84.64 		  86.12 		  87.89 
	  60 		  40 		  88.61 		  77.20 		  91.78 		  85.37 		  86.48 		  91.78 
	  70 		  30 		  90.25 		  80.48 		  92.99 		  87.43 		  88.42 		  92.99 
	  80 		  20 		  89.45 		  78.85 		  92.08 		  86.67 		  87.99 		  92.08 
	  90 		  10 		  93.52 		  87.01 		  95.65 		  91.23 		  92.15 		  95.65 
