 TR_Data, Accuracy, Kappa, Sensitivity, Specificity, Precision, Recall
10,84.46,40.03,91.37,47.63,90.3,91.37
20,87.73,46.56,91.25,60.87,94.67,91.25
30,87.58,47.13,91.53,59.59,94.14,91.53
40,88.57,49.49,91.51,65.1,95.44,91.51
50,89.25,50.65,91.34,70.27,96.53,91.34
60,89.24,50.86,91.4,70,96.45,91.4
70,89.24,50.26,91.23,70.77,96.67,91.23
80,89.69,55.17,92.39,69.23,95.79,92.39
90,88.34,47.15,91,65.22,95.79,91
