------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	 TR-Data% 	 TS-Data% 	 Accuracy% 	 Kappa% 	 Sensitivity% 	 Specificity% 	 Precision% 	 Recall%
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	  10 		  90 		  79.50 		  59.05 		  83.53 		  75.60 		  76.80 		  83.53 
	  20 		  80 		  81.83 		  63.53 		  83.65 		  79.82 		  82.05 		  83.65 
	  30 		  70 		  82.48 		  64.89 		  84.88 		  79.93 		  81.82 		  84.88 
	  40 		  60 		  83.04 		  66.02 		  85.70 		  80.25 		  81.95 		  85.70 
	  50 		  50 		  82.06 		  64.00 		  83.91 		  80.02 		  82.23 		  83.91 
	  60 		  40 		  83.40 		  66.79 		  86.59 		  80.17 		  81.58 		  86.59 
	  70 		  30 		  81.71 		  63.36 		  84.40 		  78.89 		  80.70 		  84.40 
	  80 		  20 		  81.15 		  62.32 		  84.75 		  77.59 		  78.95 		  84.75 
	  90 		  10 		  79.72 		  59.46 		  83.52 		  75.98 		  77.37 		  83.52 
