	  10 		  90 		  85.66 		  39.39 		  90.54 		  51.78 		  92.87 		  90.54 
	  20 		  80 		  87.73 		  46.56 		  91.25 		  60.87 		  94.67 		  91.25 
	  30 		  70 		  87.58 		  47.13 		  91.53 		  59.59 		  94.14 		  91.53 
	  40 		  60 		  88.57 		  49.49 		  91.51 		  65.10 		  95.44 		  91.51 
	  50 		  50 		  89.25 		  50.65 		  91.34 		  70.27 		  96.53 		  91.34 
	  60 		  40 		  89.24 		  50.86 		  91.40 		  70.00 		  96.45 		  91.40 
	  70 		  30 		  89.24 		  50.26 		  91.23 		  70.77 		  96.67 		  91.23 
	  80 		  20 		  89.69 		  55.17 		  92.39 		  69.23 		  95.79 		  92.39 
	  90 		  10 		  88.34 		  47.15 		  91.00 		  65.22 		  95.79 		  91.00 
