------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	 TR-Data% 	 TS-Data% 	 Accuracy% 	 Kappa% 	 Sensitivity% 	 Specificity% 	 Precision% 	 Recall%
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	  10 		  90 		  68.28 		  36.75 		  72.72 		  64.21 		  65.11 		  72.72 
	  20 		  80 		  68.75 		  37.54 		  72.38 		  65.18 		  67.19 		  72.38 
	  30 		  70 		  71.27 		  42.67 		  75.54 		  67.26 		  68.44 		  75.54 
	  40 		  60 		  69.73 		  39.39 		  72.81 		  66.54 		  69.24 		  72.81 
	  50 		  50 		  70.53 		  40.93 		  73.28 		  67.60 		  70.66 		  73.28 
	  60 		  40 		  71.73 		  43.50 		  75.43 		  68.11 		  69.87 		  75.43 
	  70 		  30 		  70.64 		  40.95 		  72.35 		  68.64 		  72.98 		  72.35 
	  80 		  20 		  70.75 		  41.12 		  72.16 		  69.04 		  73.68 		  72.16 
	  90 		  10 		  72.11 		  43.97 		  74.07 		  69.88 		  73.68 		  74.07 
