------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	 TR-Data% 	 TS-Data% 	 Accuracy% 	 Kappa% 	 Sensitivity% 	 Specificity% 	 Precision% 	 Recall%
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	  10 		  90 		  86.30 		  33.56 		  88.98 		  56.63 		  95.79 		  88.98 
	  20 		  80 		  82.97 		  31.36 		  89.75 		  42.13 		  90.34 		  89.75 
	  30 		  70 		  85.02 		  34.46 		  89.66 		  49.16 		  93.16 		  89.66 
	  40 		  60 		  85.21 		  37.68 		  90.33 		  50.00 		  92.55 		  90.33 
	  50 		  50 		  85.93 		  35.99 		  89.62 		  53.51 		  94.43 		  89.62 
	  60 		  40 		  86.77 		  43.28 		  90.94 		  56.48 		  93.82 		  90.94 
	  70 		  30 		  86.55 		  37.22 		  89.60 		  57.14 		  95.26 		  89.60 
	  80 		  20 		  88.12 		  41.53 		  89.78 		  68.57 		  97.11 		  89.78 
	  90 		  10 		  86.55 		  31.13 		  88.46 		  60.00 		  96.84 		  88.46 
