 TR_Data, Accuracy, Kappa, Sensitivity, Specificity, Precision, Recall
10,83.17,27.58,88.85,41.49,91.76,88.85
20,82.97,31.36,89.75,42.13,90.34,89.75
30,85.4,35.38,89.7,50.87,93.61,89.7
40,85.21,37.68,90.33,50,92.55,90.33
50,85.93,35.99,89.62,53.51,94.43,89.62
60,86.77,43.28,90.94,56.48,93.82,90.94
70,86.55,36.6,89.47,57.38,95.44,89.47
80,88.12,41.53,89.78,68.57,97.11,89.78
90,86.55,31.13,88.46,60,96.84,88.46
