	  10 		  90 		  88.55 		  49.19 		  91.44 		  65.16 		  95.50 		  91.44 
	  20 		  80 		  88.18 		  48.33 		  91.46 		  62.93 		  95.00 		  91.46 
	  30 		  70 		  88.09 		  46.86 		  91.10 		  63.31 		  95.34 		  91.10 
	  40 		  60 		  88.35 		  45.59 		  90.60 		  66.67 		  96.32 		  90.60 
	  50 		  50 		  90.32 		  55.07 		  91.77 		  76.64 		  97.37 		  91.77 
	  60 		  40 		  89.91 		  52.56 		  91.36 		  75.61 		  97.37 		  91.36 
	  70 		  30 		  89.54 		  49.69 		  90.85 		  75.44 		  97.54 		  90.85 
	  80 		  20 		  90.36 		  55.34 		  91.81 		  76.74 		  97.37 		  91.81 
	  90 		  10 		  90.13 		  53.96 		  91.58 		  76.19 		  97.37 		  91.58 
