------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	 TR-Data% 	 TS-Data% 	 Accuracy% 	 Kappa% 	 Sensitivity% 	 Specificity% 	 Precision% 	 Recall%
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	  10 		  90 		  88.10 		  45.41 		  90.71 		  64.50 		  95.85 		  90.71 
	  20 		  80 		  88.29 		  45.63 		  90.64 		  66.08 		  96.19 		  90.64 
	  30 		  70 		  88.54 		  47.27 		  90.91 		  66.88 		  96.17 		  90.91 
	  40 		  60 		  88.20 		  45.17 		  90.59 		  65.62 		  96.14 		  90.59 
	  50 		  50 		  89.78 		  52.01 		  91.31 		  74.76 		  97.27 		  91.31 
	  60 		  40 		  90.02 		  51.84 		  91.06 		  78.67 		  97.89 		  91.06 
	  70 		  30 		  89.54 		  48.65 		  90.58 		  77.36 		  97.89 		  90.58 
	  80 		  20 		  90.36 		  54.67 		  91.60 		  78.05 		  97.63 		  91.60 
	  90 		  10 		  90.58 		  55.40 		  91.63 		  80.00 		  97.89 		  91.63 
