------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	 TR-Data% 	 TS-Data% 	 Accuracy% 	 Kappa% 	 Sensitivity% 	 Specificity% 	 Precision% 	 Recall%
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	  10 		  90 		  77.59 		  55.07 		  79.98 		  75.03 		  77.50 		  79.98 
	  20 		  80 		  80.95 		  61.80 		  83.23 		  78.50 		  80.60 		  83.23 
	  30 		  70 		  84.93 		  69.81 		  87.40 		  82.33 		  83.92 		  87.40 
	  40 		  60 		  86.13 		  72.23 		  89.01 		  83.16 		  84.49 		  89.01 
	  50 		  50 		  85.15 		  70.21 		  86.90 		  83.23 		  85.07 		  86.90 
	  60 		  40 		  87.20 		  74.45 		  91.88 		  82.79 		  83.42 		  91.88 
	  70 		  30 		  88.74 		  77.36 		  89.06 		  88.37 		  90.00 		  89.06 
	  80 		  20 		  88.61 		  77.05 		  88.04 		  89.31 		  91.05 		  88.04 
	  90 		  10 		  88.17 		  76.28 		  90.22 		  85.96 		  87.37 		  90.22 
