------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	 TR-Data% 	 TS-Data% 	 Accuracy% 	 Kappa% 	 Sensitivity% 	 Specificity% 	 Precision% 	 Recall%
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	  10 		  90 		  70.32 		  28.08 		  94.49 		  30.20 		  69.20 		  94.49 
	  20 		  80 		  47.84 		  11.97 		  94.83 		  20.41 		  41.03 		  94.83 
	  30 		  70 		  71.00 		  28.21 		  94.16 		  30.46 		  70.32 		  94.16 
	  40 		  60 		  49.74 		  10.87 		  92.70 		  19.97 		  44.52 		  92.70 
	  50 		  50 		  49.64 		  11.66 		  93.51 		  20.33 		  43.95 		  93.51 
	  60 		  40 		  66.82 		  24.85 		  94.62 		  27.96 		  64.74 		  94.62 
	  70 		  30 		  79.82 		  37.87 		  93.41 		  39.29 		  82.11 		  93.41 
	  80 		  20 		  80.04 		  36.39 		  92.67 		  39.05 		  83.16 		  92.67 
	  90 		  10 		  78.92 		  28.12 		  90.40 		  34.78 		  84.21 		  90.40 
