 TR_Data, Accuracy, Kappa, Sensitivity, Specificity, Precision, Recall
10,80.41,60.84,84.22,76.67,77.97,84.22
20,81.76,63.33,82.83,80.52,83.1,82.83
30,82.68,65.24,84.3,80.88,83.1,84.3
40,82.94,65.77,84.72,80.99,83.09,84.72
50,81.72,63.3,83.3,79.95,82.33,83.3
60,83.4,66.74,85.79,80.87,82.63,85.79
70,82.27,64.43,84.2,80.16,82.28,84.2
80,82,63.89,84.05,79.77,81.84,84.05
90,80.85,61.59,83.15,78.36,80.53,83.15
