	  10 		  90 		  84.81 		  33.55 		  89.54 		  48.26 		  93.05 		  89.54 
	  20 		  80 		  86.05 		  28.41 		  88.18 		  56.30 		  96.58 		  88.18 
	  30 		  70 		  85.92 		  37.65 		  89.99 		  53.18 		  93.91 		  89.99 
	  40 		  60 		  86.26 		  40.23 		  90.45 		  54.49 		  93.78 		  90.45 
	  50 		  50 		  86.20 		  32.78 		  88.88 		  56.04 		  95.79 		  88.88 
	  60 		  40 		  86.43 		  37.84 		  89.79 		  56.18 		  94.87 		  89.79 
	  70 		  30 		  84.01 		  33.52 		  89.85 		  45.45 		  91.58 		  89.85 
	  80 		  20 		  87.44 		  46.88 		  91.54 		  58.93 		  93.95 		  91.54 
	  90 		  10 		  86.55 		  35.31 		  89.22 		  57.89 		  95.79 		  89.22 
