 TR_Data, Accuracy, Kappa, Sensitivity, Specificity, Precision, Recall
10,86.46,40.42,90.71,54.08,93.77,90.71
20,88.3,45.7,90.43,67.66,96.44,90.43
30,88.48,46.1,90.18,71.01,96.98,90.18
40,88.57,46.27,90.55,68.85,96.67,90.55
50,89.34,48.03,91.25,69.7,96.87,91.25
60,89.7,50.23,91.62,70.73,96.87,91.62
70,89.69,50.43,91.9,68.75,96.53,91.9
80,88.79,45.96,90.89,67.5,96.6,90.89
90,90.13,50.8,91.67,73.68,97.4,91.67
