------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	 TR-Data% 	 TS-Data% 	 Accuracy% 	 Kappa% 	 Sensitivity% 	 Specificity% 	 Precision% 	 Recall%
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	  10 		  90 		  80.41 		  60.84 		  84.22 		  76.67 		  77.97 		  84.22 
	  20 		  80 		  81.76 		  63.33 		  82.83 		  80.52 		  83.10 		  82.83 
	  30 		  70 		  82.68 		  65.24 		  84.30 		  80.88 		  83.10 		  84.30 
	  40 		  60 		  82.94 		  65.77 		  84.72 		  80.99 		  83.09 		  84.72 
	  50 		  50 		  81.72 		  63.30 		  83.30 		  79.95 		  82.33 		  83.30 
	  60 		  40 		  83.40 		  66.74 		  85.79 		  80.87 		  82.63 		  85.79 
	  70 		  30 		  82.27 		  64.43 		  84.20 		  80.16 		  82.28 		  84.20 
	  80 		  20 		  82.00 		  63.89 		  84.05 		  79.77 		  81.84 		  84.05 
	  90 		  10 		  80.85 		  61.59 		  83.15 		  78.36 		  80.53 		  83.15 
