 TR_Data, Accuracy, Kappa, Sensitivity, Specificity, Precision, Recall
10,77.59,55.07,79.98,75.03,77.5,79.98
20,80.95,61.8,83.23,78.5,80.6,83.23
30,84.93,69.81,87.4,82.33,83.92,87.4
40,86.13,72.23,89.01,83.16,84.49,89.01
50,85.15,70.21,86.9,83.23,85.07,86.9
60,87.2,74.45,91.88,82.79,83.42,91.88
70,88.74,77.36,89.06,88.37,90,89.06
80,88.61,77.05,88.04,89.31,91.05,88.04
90,88.17,76.28,90.22,85.96,87.37,90.22
