 TR_Data, Accuracy, Kappa, Sensitivity, Specificity, Precision, Recall
10,88.1,45.41,90.71,64.5,95.85,90.71
20,88.29,45.63,90.64,66.08,96.19,90.64
30,88.54,47.27,90.91,66.88,96.17,90.91
40,88.2,45.17,90.59,65.62,96.14,90.59
50,89.78,52.01,91.31,74.76,97.27,91.31
60,90.02,51.84,91.06,78.67,97.89,91.06
70,89.54,48.65,90.58,77.36,97.89,90.58
80,90.36,54.67,91.6,78.05,97.63,91.6
90,90.58,55.4,91.63,80,97.89,91.63
